id,path,name,public,args,category_id
sys-info,sys-info,"Get Shell Type",true,,sys
cd,cd,"Navigate Directory Aliases",true,,nav
back,back,"Go Back A Directory",true,,nav
run,run,"Run Script Aliases",true,"<myscript>",code
vsc,vsc,"Open Directory Aliases in VSCode",true,"<mydir>",code
genpass,genpass,"Generate A Random Password",true,"<pass-length?>",tutil
genhex,genhex,"Generate A Random Hex String",true,,tutil
genb64,genb64,"Generate A Random Base64 String",true,,tutil
version,version,"WYX-CLI Version",true,,version
-v,version,"WYX-CLI Version",false
--version,version,"WYX-CLI Version",false
ginit,ginit,"Initialise Git Repository",true,,git
push,push,"Add, Commit, & Push Git Changes",true,,git
pull,pull,"Pull Git Changes",true,,git
mpull,mpull,"Pull Git Changes From Master/Main Branch",true,,git
repo,repo,"View Your Repository On GitHub",true,,git
branch,branch,"View Your Current Branch On GitHub",true,,git
actions,actions,"View Your Repository Actions On GitHub",true,,git
issues,issues,"View Your Repository Issues On GitHub",true,,git
prs,prs,"View Your Repository PRs On GitHub",true,,git
notifs,notifs,"View Your GitHub Notifications",true,,git
commits,commits,"View Your Branch Git Commits",true,,git
lastcommit,lastcommit,"View Your Last Commit & Copy It's ID",true,,git
nb,nb,"Checkout, Add, Commit, & Push A New Git Branch",true,,git
pr,pr,"Open A Pull Request From Your Current Git Branch on GitHub",true,,git
bpr,bpr,"Checkout, Add, Commit, & Push A New Git Branch, Then Open A PR For It On GitHub",true,,git
profile,profile,"View Your GitHub Profile",true,,git
org,org,"View Your GitHub Organisation",true,,git
help,help,"View WYX-CLI Documentation",true,,hutil
user,user,"View Your User Configuration",true,,mydata
mydirs,mydirs,"View Your Directory Aliases Configuration",true,,mydata
myorgs,myorgs,"View Your GitHub Organisation Configuration",true,,mydata
myscripts,myscripts,"View Your Scripts Configuration",true,,mydata
todo,todo,"View Your To-Do List",true,,mydata
editd,editd,"Edit Your WYX-CLI Configuration",true,,mmdata
edits,edits,"Edit A Script File",true,,mmdata
newscript,newscript,"Create A New Script",true,,mmdata
find,find,"Regex Search Current Directory For File",true,,futil
lastcmd,lastcmd,"Copy Your Last Command To Your Clipboard",true,,tutil
ip,ip,"View Your Local & Public IPs",true,,nutil
wifi,wifi,"View Available WiFi Networks",true,,nutil
hardware-ports,hardware-ports,"View Your Hardware Ports",true,,nutil
wpass,wpass,"View Your Saved WiFi Passwords",true,,nutil
speedtest,speedtest,"Run A Speed Test On Your Network",true,,nutil
genqr,genqr,"Generate a QR code from a URL",true,,iutil
upscale,upscale,"Scale up an image, uses no smoothing",true,,iutil
fopen,fopen,"Open current directory in your files application",true,,futil
encrypt,encrypt,"Encrypt a file using GPG",true,,futil
decrypt,decrypt,"Decrypt a GPG-encrypted file",true,,futil
weather,weather,"View the weather forecast for your location in the terminal2,true,,misc
moon,moon,"View the moon phase",true,,misc
leap-year,leap-year,"Check when the next leap year is",true,,misc
webtext,webtext,"Read-only websites in your terminal",true,,wutil
explain,explain,"Explain a bash command",true,,hutil
ask-gpt,ask-gpt,"Start a conversation with ChatGPT",true,,hutil
google,google,"Google a query",true,,hutil
install-deps,install-deps,"Install WYX-CLI dependencies",true,,deps
keystore,keystore,"Add a key-value pair to your '.env' keystore",true,,env
setup,setup,"Setup WYX-CLI Third Party API-based utilities",true,,env
img_stdout,img_stdout,"Output wyx STDOUT to an image",false
copy,copy,"Copy output of a command to clipboard",true,,tutil
update-deps,update-deps,"Update the project dependencies",true,,deps
list-deps,list-deps,"List the project dependencies",true,,deps
